player_name,round_number,season,playoffownership,topownership,eliteownership,topdiff,elitediff
Devin Duvernay,17.1,2022,0.07082446808510638,0.07458891337514834,0.0830188679245283,0.003764445290041954,0.012194399839421916
Devin Singletary,9.2,2022,0.09566489361702128,0.093575182234277,0.07547169811320754,-0.0020897113827442887,-0.020193195503813738
Devonta Freeman,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Dez Fitzpatrick,18,2022,2.6595744680851064e-5,NA,NA,NA,NA
Diontae Johnson,4.4,2022,0.0641622340425532,0.047804712663163246,0.035849056603773584,-0.01635752137938995,-0.028313177438779612
Donald Parham,17.8,2022,0.0016090425531914893,6.780810306831666e-4,NA,-9.309615225083227e-4,NA
Donovan Peoples-Jones,16.8,2022,0.07670212765957447,0.09442278352263095,0.10377358490566038,0.017720655863056475,0.02707145724608591
Dontrell Hilliard,17.6,2022,0.007898936170212766,0.00711985082217325,0.005660377358490566,-7.790853480395162e-4,-0.0022385588117222006
Drake London,6.7,2022,0.06773936170212766,0.04814375317850483,0.03207547169811321,-0.019595608523622826,-0.03566389000401445
Drew Lock,17.5,2022,0.0021675531914893617,0.0018647228343787084,0.005660377358490566,-3.0283035711065336e-4,0.003492824167001204
Duke Johnson,17.7,2022,3.9893617021276594e-5,NA,NA,NA,NA
Durham Smythe,17.3,2022,3.9893617021276594e-5,3.390405153415833e-4,NA,2.9914689832030673e-4,NA
Dyami Brown,18,2022,2.792553191489362e-4,5.085607730123749e-4,NA,2.2930545386343876e-4,NA
Elijah Mitchell,6.1,2022,0.044920212765957444,0.022715714527886084,0.007547169811320755,-0.02220449823807136,-0.03737304295463669
Elijah Moore,6.1,2022,0.047872340425531915,0.024071876589252417,0.007547169811320755,-0.023800463836279498,-0.04032517061421116
Emmanuel Sanders,17.6,2022,3.4574468085106383e-4,NA,NA,NA,NA
Eno Benjamin,16.7,2022,0.04327127659574468,0.04339718596372266,0.03018867924528302,1.2590936797798186e-4,-0.013082597350461661
Equanimeous St. Brown,17.5,2022,0.0017420212765957446,0.0022037633497202914,NA,4.617420731245468e-4,NA
Erik Ezukanma,17.6,2022,0.0021542553191489363,0.0018647228343787084,0.0037735849056603774,-2.89532484770228e-4,0.001619329586511441
Evan Engram,15.3,2022,0.12281914893617021,0.154602474995762,0.2,0.03178332605959178,0.0771808510638298
Ezekiel Elliott,3.9,2022,0.08957446808510638,0.0915409391422275,0.08113207547169811,0.001966471057121111,-0.008442392613408276
Foster Moreau,17.7,2022,0.0010771276595744682,0.0015256823190371248,0.0018867924528301887,4.4855465946265667e-4,8.096647932557205e-4
Gabe Davis,4.2,2022,0.09332446808510639,0.08916765553483641,0.08867924528301886,-0.004156812550269978,-0.004645222802087526
Gardner Minshew,17.6,2022,1.0638297872340425e-4,NA,NA,NA,NA
Garrett Wilson,10,2022,0.12555851063829787,0.17596202746228173,0.2509433962264151,0.05040351682398386,0.12538488558811722
Geno Smith,17.5,2022,0.003723404255319149,0.0050856077301237495,0.007547169811320755,0.0013622034748046003,0.0038237655560016057
Geoff Swaim,17.5,2022,2.6595744680851064e-5,NA,NA,NA,NA
George Kittle,4.7,2022,0.07663563829787234,0.07001186641803696,0.052830188679245285,-0.006623771879835386,-0.02380544961862706
George Pickens,11.9,2022,0.09375,0.09815222919138837,0.1,0.004402229191388371,0.0062500000000000056
Gerald Everett,14,2022,0.08288563829787234,0.06848618409899983,0.06415094339622641,-0.014399454198872508,-0.01873469490164592
Giovani Bernard,17.5,2022,1.8617021276595746e-4,1.6952025767079165e-4,0.0018867924528301887,-1.6649955095165807e-5,0.0017006222400642312
Grant Calcaterra,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Greg Dulcich,17.7,2022,0.009388297872340426,0.007967452110527209,0.016981132075471698,-0.0014208457618132171,0.007592834203131272
Greg Ward,18,2022,1.3297872340425532e-5,NA,NA,NA,NA
Gunner Olszewski,17,2022,2.6595744680851064e-5,NA,NA,NA,NA
Gus Edwards,15.3,2022,0.05533244680851064,0.045600949313442954,0.052830188679245285,-0.009731497495067687,-0.0025022581292653556
Harrison Bryant,17.9,2022,0.001023936170212766,0.0010171215460247499,NA,-6.814624188016113e-6,NA
Hassan Haskins,17.4,2022,0.01747340425531915,0.01440922190201729,0.013207547169811321,-0.0030641823533018586,-0.004265857085507828
Hayden Hurst,15.5,2022,0.0860904255319149,0.0791659603322597,0.06792452830188679,-0.0069244651996552,-0.018165897230028108
Henry Ruggs,17,2022,1.3297872340425532e-5,NA,NA,NA,NA
